obs,age,engagement_time_min,page_view,session_start,first_visit,user_engagement,scroll,click,source,country,attend_conf
1,27,1.50,1,1,0,0,0,0,1,40,1
2,67,16.50,1,0,1,0,1,1,0,60,1
3,65,2.80,1,0,0,1,0,0,1,124,0
4,54,16.20,1,0,1,1,1,1,0,194,1
5,33,44.40,0,0,0,0,1,1,0,169,1
6,57,30.20,0,0,0,1,0,1,0,83,1
7,49,40.70,1,1,1,0,1,1,1,82,1
8,75,28.00,0,0,0,1,1,1,0,7,0
9,20,43.00,1,0,0,1,1,0,1,105,0
10,35,30.30,1,0,1,1,1,1,0,124,0
11,28,36.00,1,1,1,1,1,0,1,109,0
12,36,34.10,0,0,1,0,0,1,1,32,0
13,38,1.60,1,1,0,0,0,1,0,62,1
14,47,17.70,0,1,1,1,1,0,1,89,1
15,33,15.60,1,0,0,1,0,0,0,119,1
16,30,3.70,0,1,1,1,0,0,1,126,0
17,67,33.70,1,0,0,1,0,1,1,58,1
18,59,11.30,1,1,1,1,1,0,0,109,0
19,28,15.10,0,1,0,1,0,1,1,2,0
20,51,8.70,1,0,0,0,1,1,0,155,0
21,41,13.80,1,0,1,0,1,0,0,35,1
22,34,13.40,1,0,0,0,1,1,0,26,1
23,25,0.20,0,0,1,0,1,0,1,40,0
24,70,7.50,1,1,0,0,1,1,1,171,0
25,41,31.00,1,0,1,0,1,0,0,82,0
26,45,36.30,0,1,1,1,1,1,0,78,1
27,26,27.70,1,1,0,0,0,0,0,174,0
28,25,38.70,0,1,0,1,0,0,1,31,1
29,69,11.10,0,1,0,1,0,1,0,122,0
30,65,37.30,1,1,1,1,0,1,0,125,1
31,47,17.20,0,1,0,0,1,1,0,85,1
32,40,25.10,1,1,0,0,1,0,1,110,1
33,56,38.60,1,1,1,1,0,1,1,40,0
34,68,29.90,1,1,0,1,0,0,1,110,1
35,26,23.00,1,0,1,1,0,1,0,77,1
36,68,21.00,1,1,1,0,0,0,0,42,1
37,72,11.10,0,0,1,1,1,1,1,151,1
38,64,11.10,0,0,1,1,1,0,0,100,1
39,27,6.20,0,1,1,0,1,1,0,37,1
40,43,29.80,1,0,0,1,0,1,1,31,0
41,22,23.00,0,0,0,1,0,1,0,29,1
42,19,0.30,1,1,1,1,1,0,0,23,0
43,45,30.90,0,1,0,0,1,0,1,175,0
44,75,28.80,0,0,0,1,0,1,1,3,0
45,41,33.10,1,1,1,0,1,1,1,12,1
46,40,32.20,0,1,1,1,0,1,1,195,1
47,54,11.00,0,0,0,1,0,0,0,81,0
48,25,38.00,0,1,0,0,1,0,1,4,0
49,57,26.10,0,1,1,1,1,0,1,157,0
50,74,1.40,1,0,1,0,1,1,1,123,0
51,26,26.50,1,0,1,1,1,1,0,189,1
52,70,41.80,0,0,0,1,0,1,1,58,0
53,34,21.00,1,1,1,0,1,0,1,27,1
54,20,2.20,1,0,1,0,0,0,0,181,0
55,73,23.20,1,1,0,1,0,0,0,110,0
56,20,44.70,1,0,1,0,0,0,0,2,0
57,19,43.60,0,0,1,0,0,0,1,116,0
58,75,28.90,0,0,1,1,0,1,0,172,0
59,45,35.20,0,1,1,0,0,1,1,26,1
60,62,44.60,1,0,0,1,1,0,1,25,0
61,49,40.30,0,0,1,0,0,1,1,93,1
62,28,3.80,0,1,1,0,0,1,1,24,0
63,54,5.80,1,0,1,0,0,0,1,11,0
64,38,26.30,1,1,0,0,0,1,0,5,0
65,50,21.40,1,0,0,0,1,1,0,164,0
66,35,17.40,1,0,0,1,0,1,1,54,0
67,47,7.00,1,1,1,0,1,0,1,16,1
68,45,17.40,0,1,0,0,1,1,0,41,1
69,40,17.00,1,1,1,1,1,1,1,72,1
70,48,17.10,0,0,1,0,0,1,0,130,0
71,29,29.60,0,0,0,1,0,0,1,187,1
72,27,22.10,0,1,0,0,0,1,0,18,0
73,56,17.70,1,1,0,1,1,0,0,186,1
74,27,6.90,1,1,1,1,0,1,1,166,1
75,23,3.20,1,1,0,0,1,1,0,66,0
76,69,1.80,1,1,0,0,1,1,0,90,1
77,75,38.20,1,1,0,1,1,1,0,176,1
78,68,6.10,1,0,0,0,1,1,0,8,0
79,21,34.00,1,0,0,1,0,1,0,133,1
80,42,40.60,0,1,1,1,0,0,1,176,1
81,41,39.10,1,0,1,1,0,1,0,180,0
82,28,34.20,0,0,1,0,0,0,1,137,0
83,27,35.60,1,0,0,0,0,0,0,42,1
84,22,42.60,1,0,1,1,0,0,0,100,1
85,66,10.60,0,1,0,0,1,0,0,113,1
86,34,11.90,1,0,0,0,0,1,1,114,1
87,54,16.20,0,1,0,1,0,1,0,10,0
88,50,27.00,1,1,0,1,1,0,1,50,1
89,65,29.60,0,0,1,0,1,0,0,107,0
90,40,3.10,0,0,1,1,0,1,1,187,1
91,26,9.20,0,1,0,1,0,0,1,22,1
92,48,19.80,1,1,0,0,0,1,0,15,1
93,60,41.40,0,1,1,0,0,0,1,89,0
94,22,4.10,1,1,0,1,1,1,0,110,1
95,26,30.50,1,1,0,0,1,0,1,56,1
96,29,35.00,1,0,0,1,1,0,0,107,0
97,44,10.60,0,0,0,1,0,1,1,34,1
98,33,24.90,1,0,0,0,1,1,1,93,0
99,67,41.80,1,0,1,1,1,0,0,177,0
100,51,1.00,1,0,0,1,1,1,0,183,1
